date,price,volume,month
2019-09-26,48.512001,59422500,9
2019-09-27,48.425999,55582000,9
2019-09-30,48.174,29399000,9
2019-10-01,48.938,30813000,10
2019-10-02,48.625999,28157000,10
2019-10-03,46.605999,75422500,10
2019-10-04,46.285999,39975000,10
2019-10-07,47.543999,40321000,10
2019-10-08,48.009998,43391000,10
2019-10-09,48.905998,34472000,10
2019-10-10,48.948002,31416500,10
2019-10-11,49.577999,42377000,10
2019-10-14,51.391998,51025000,10
2019-10-15,51.577999,32164000,10
2019-10-16,51.950001,33420500,10
2019-10-17,52.394001,23846500,10
2019-10-18,51.389999,28749000,10
2019-10-21,50.700001,25101500,10
2019-10-22,51.116001,23004000,10
2019-10-23,50.936001,26305500,10
2019-10-24,59.936001,148604500,10
2019-10-25,65.625999,150030500,10
2019-10-28,65.542,94351500,10
2019-10-29,63.243999,63421500,10
2019-10-30,63.001999,48209000,10
2019-10-31,62.984001,25335000,10
2019-11-01,62.661999,31919500,11
2019-11-04,63.493999,43935000,11
2019-11-05,63.444,34717000,11
2019-11-06,65.316002,39704500,11
2019-11-07,67.108002,72336500,11
2019-11-08,67.428001,30346000,11
2019-11-11,69.017998,49933500,11
2019-11-12,69.986,36797000,11
2019-11-13,69.222,42100500,11
2019-11-14,69.870003,32324500,11
2019-11-15,70.433998,24045000,11
2019-11-18,69.998001,22002000,11
2019-11-19,71.903999,38624000,11
2019-11-20,70.444,33625500,11
2019-11-21,70.966003,30550000,11
2019-11-22,66.608002,84353000,11
2019-11-25,67.267998,61697500,11
2019-11-26,65.783997,39737000,11
2019-11-27,66.258003,27778000,11
2019-11-29,65.987999,12328000,11
2019-12-02,66.973999,30372500,12
2019-12-03,67.239998,32868500,12
2019-12-04,66.606003,27665000,12
2019-12-05,66.073997,18623000,12
2019-12-06,67.178001,38062000,12
2019-12-09,67.905998,45115500,12
2019-12-10,69.767998,44141500,12
2019-12-11,70.540001,34489000,12
2019-12-12,71.935997,38819500,12
2019-12-13,71.678001,32854500,12
2019-12-16,76.300003,90871000,12
2019-12-17,75.797997,42484000,12
2019-12-18,78.629997,70605000,12
2019-12-19,80.807999,90535500,12
2019-12-20,81.117996,73763500,12
2019-12-23,83.844002,66598000,12
2019-12-24,85.050003,40273500,12
2019-12-26,86.188004,53169500,12
2019-12-27,86.075996,49728500,12
2019-12-30,82.940002,62932000,12
2019-12-31,83.666,51428500,12
2020-01-02,86.052002,47660500,1
2020-01-03,88.601997,88892500,1
2020-01-06,90.307999,50665000,1
2020-01-07,93.811996,89410500,1
2020-01-08,98.428001,155721500,1
2020-01-09,96.267998,142202000,1
2020-01-10,95.629997,64797500,1
2020-01-13,104.972,132588000,1
2020-01-14,107.584,144981000,1
2020-01-15,103.699997,86844000,1
2020-01-16,102.697998,108683500,1
2020-01-17,102.099998,68145500,1
2020-01-21,109.440002,89017500,1
2020-01-22,113.912003,156845000,1
2020-01-23,114.440002,98255000,1
2020-01-24,112.963997,71768000,1
2020-01-27,111.603996,68040500,1
2020-01-28,113.379997,58942500,1
2020-01-29,116.197998,89007500,1
2020-01-30,128.162003,145028500,1
2020-01-31,130.113998,78596500,1
2020-02-03,156,236167500,2
2020-02-04,177.412003,304694000,2
2020-02-05,146.940002,242119000,2
2020-02-06,149.792007,199404000,2
2020-02-07,149.613998,85317500,2
2020-02-10,154.255997,123446000,2
2020-02-11,154.876007,58487500,2
2020-02-12,153.457993,60112500,2
2020-02-13,160.800003,131446500,2
2020-02-14,160.005997,78468500,2
2020-02-18,171.679993,81908500,2
2020-02-19,183.483994,127115000,2
2020-02-20,179.882004,88174500,2
2020-02-21,180.199997,71574000,2
2020-02-24,166.757996,75961000,2
2020-02-25,159.981995,86452500,2
2020-02-26,155.759995,70427500,2
2020-02-27,135.800003,121386000,2
2020-02-28,133.598007,24564200,2
2020-03-02,148.723999,20195000,3
2020-03-03,149.102005,25784000,3
2020-03-04,149.899994,15049000,3
2020-03-05,144.908005,10852700,3
2020-03-06,140.695999,12662900,3
2020-03-09,121.599998,17073700,3
2020-03-10,129.065994,15594400,3
2020-03-11,126.846001,13322500,3
2020-03-12,112.110001,18909100,3
2020-03-13,109.323997,22640300,3
2020-03-16,89.014,20489500,3
2020-03-17,86.040001,23994600,3
2020-03-18,72.244003,23786200,3
2020-03-19,85.528,30195500,3
2020-03-20,85.505997,28285500,3
2020-03-23,86.858002,16454500,3
2020-03-24,101,22895200,3
2020-03-25,107.849998,21165000,3
2020-03-26,105.632004,86903500,3
2020-03-27,102.872002,71887000,3
2020-03-30,100.426003,59990500,3
2020-03-31,104.800003,88857500,3
2020-04-01,96.311996,66766000,4
2020-04-02,90.893997,99292000,4
2020-04-03,96.001999,112810500,4
2020-04-06,103.248001,74509000,4
2020-04-07,109.089996,89599000,4
2020-04-08,109.767998,63280000,4
2020-04-09,114.599998,68250000,4
2020-04-13,130.190002,112377000,4
2020-04-14,141.977997,152882500,4
2020-04-15,145.966003,117885000,4
2020-04-16,149.042007,103289500,4
2020-04-17,150.778,65641000,4
2020-04-20,149.272003,73733000,4
2020-04-21,137.343994,101045500,4
2020-04-22,146.421997,71124000,4
2020-04-23,141.126007,66183500,4
2020-04-24,145.029999,66188000,4
2020-04-27,159.75,103407000,4
2020-04-28,153.824005,76110000,4
2020-04-29,160.102005,81080000,4
2020-04-30,156.376007,142359500,4
2020-05-01,140.264008,162659000,5
2020-05-04,152.238007,96185500,5
2020-05-05,153.641998,84958500,5
2020-05-06,156.516006,55616000,5
2020-05-07,156.007996,57638500,5
2020-05-08,163.884003,80650500,5
2020-05-11,162.257996,82598000,5
2020-05-12,161.882004,79534500,5
2020-05-13,158.192001,95327500,5
2020-05-14,160.666,68411000,5
2020-05-15,159.834,52592000,5
2020-05-18,162.725998,58490500,5
2020-05-19,161.602005,48182500,5
2020-05-20,163.112,36546500,5
2020-05-21,165.520004,61273000,5
2020-05-22,163.376007,49937500,5
2020-05-26,163.774002,40448500,5
2020-05-27,164.046005,57747500,5
2020-05-28,161.162003,36278000,5
2020-05-29,167,59062500,5
2020-06-01,179.619995,74697500,6
2020-06-02,176.311996,67828000,6
2020-06-03,176.591995,39747500,6
2020-06-04,172.876007,44438500,6
2020-06-05,177.132004,39059500,6
2020-06-08,189.983994,70873500,6
2020-06-09,188.134003,56941000,6
2020-06-10,205.009995,92817000,6
2020-06-11,194.567993,79582500,6
2020-06-12,187.056,83817000,6
2020-06-15,198.179993,78486000,6
2020-06-16,196.425995,70255500,6
2020-06-17,198.358002,49454000,6
2020-06-18,200.792007,48759500,6
2020-06-19,200.179993,43398500,6
2020-06-22,198.863998,31812000,6
2020-06-23,200.356003,31826500,6
2020-06-24,192.169998,54798000,6
2020-06-25,197.195999,46272500,6
2020-06-26,191.947998,44274500,6
2020-06-29,201.869995,45132000,6
2020-06-30,215.962006,84592500,6
2020-07-01,223.925995,66634500,7
2020-07-02,241.731995,86250500,7
2020-07-06,274.31601,102849500,7
2020-07-07,277.971985,107448500,7
2020-07-08,273.175995,81556500,7
2020-07-09,278.855988,58588000,7
2020-07-10,308.929993,116688000,7
2020-07-13,299.411987,194927000,7
2020-07-14,303.359985,117090500,7
2020-07-15,309.201996,81839000,7
2020-07-16,300.127991,71504000,7
2020-07-17,300.167999,46650000,7
2020-07-20,328.600006,85607000,7
2020-07-21,313.671997,80786500,7
2020-07-22,318.466003,70805500,7
2020-07-23,302.614014,121642500,7
2020-07-24,283.399994,96983000,7
2020-07-27,307.920013,80243500,7
2020-07-28,295.298004,79043500,7
2020-07-29,299.821991,47134500,7
2020-07-30,297.497986,38105000,7
2020-07-31,286.152008,61235000,7
2020-08-03,297,44046500,8
2020-08-04,297.399994,42075000,8
2020-08-05,297.003998,24890000,8
2020-08-06,297.915985,29961500,8
2020-08-07,290.541992,44482000,8
2020-08-10,283.713989,37611500,8
2020-08-11,274.877991,43129000,8
2020-08-12,310.951996,109494000,8
2020-08-13,324.200012,102126500,8
2020-08-14,330.141998,62888000,8
2020-08-17,367.127991,101211500,8
2020-08-18,377.417999,82372500,8
2020-08-19,375.705994,61026500,8
2020-08-20,400.365997,103059000,8
2020-08-21,409.996002,107448000,8
2020-08-24,402.839996,100318000,8
2020-08-25,404.667999,53294500,8
2020-08-26,430.634003,71197000,8
2020-08-27,447.75,118465000,8
2020-08-28,442.679993,100406000,8
2020-08-31,498.320007,118374400,8
2020-09-01,475.049988,90119400,9
2020-09-02,447.369995,96176100,9
2020-09-03,407,87596100,9
2020-09-04,418.320007,110321900,9
2020-09-08,330.209991,115465700,9
2020-09-09,366.279999,79465800,9
2020-09-10,371.339996,84930600,9
2020-09-11,372.720001,60717500,9
2020-09-14,419.619995,83020600,9
2020-09-15,449.76001,97298200,9
2020-09-16,441.76001,72279300,9
2020-09-17,423.429993,76779200,9
2020-09-18,442.149994,86406800,9
2020-09-21,449.390015,109476800,9
2020-09-22,424.230011,79580800,9
2020-09-23,380.359985,95074200,9
2020-09-24,387.790009,96199700,9
2020-09-25,402.938995,55182424,9
